Subcategory,ID,Question,"Main Score
"4. Risk factors related to Fomites (vehicles and equiment for transport live aquatic animals, quarantine facilities, feed and supplies source and waste etc.) / External",_4_12,Is there separate equipment and materials for handling quarantined aquatic animals?,1,Yes,1,,,,
,,,,No,0,Introduction of pathogens via fomites when sharing equiment or materials beetween the quarantine area and the production stock,Introduction,Mantain exclusive equiment and materials for handling animals in the quarantine area. These items must not be used whitin the production stock to prevent transmision of pathogens,
"4. Risk factors related to Fomites (vehicles and equiment for transport live aquatic animals, quarantine facilities, feed and supplies source and waste etc.) / External",_4_13,Are the boxes and bags used to transport live animals disinfected before disposal?,1,Yes,1,,,,
,,,,No,0,Introduction pathogens via fomites through improper handling of used transport boxes and bags,Introduction,"Before disposal, all bags and boxes used for live animal transport must be thoroughly disinfected to prevent cross-contamination",
,,,,Does not apply because boxes and bags are no used for animal transportation,(No-score) ,,,,
"4. Risk factors related to Fomites (vehicles and equiment for transport live aquatic animals, quarantine facilities, feed and supplies source and waste etc.) / External",_4_14,Are the boxes and bags used to transport live animals reused before disposal?,1,Yes,0,Introduction of pathogens via fomites through the reuse of boxes and bags that were previusly used to transport live animals,Introduction,"Boxes and bags used to transport live animals must be discarted and disposed of after each use. A single use protocol  must be implemented; to prevent reuse, ensure all nags are punctured and boxes are broken down during the disposal process.",
,,,,No,1,,,,
,,,,Does not apply because boxes and bags are no used for animal transportation,(No-score) ,,,,
"4. Risk factors related to Fomites (vehicles and equiment for transport live aquatic animals, quarantine facilities, feed and supplies source and waste etc.) / External",_4_15,Are the containers used to transport live animals disinfected before and after use?,1,Yes,1,,,,
,,,,No,0,Introduction of pathongens via fomites through contaminated surfaces of vehicles where live animals are transported,Introduction,Implement strict cleanining and disinfecion routines for all  internal and contac surfaces of vehcicles where the live animals are transported. This process must be conducted both before and after each use. ,
,,,,Does not apply because containers are no used for animal transportation,(No-score) ,,,,
5. Risk factors related to Vectors (animals and wildlife) / External,_5_1,"Does the facility have barriers (natural or constructed) or fencing to prevent the entry of potential vectors, such as animals and wildlife, that could introduce new pathogens?",1,Yes ,1,,,,
,,,,No,0,"Introduction of pathogens via vectors, such as domestic animals or wildlife, through direct or indirect contact with the production stock",introduction,"To have physical or natural barriers, such as fencing, to prevent the  entry of potential vectors, such as animals and wildlife, that could introduce pathogens into the facility.",
5. Risk factors related to Vectors (animals and wildlife) / External,_5_2,Are inspections conducted to check for pests and predators?,1,Yes,1,,,,
,,,,No,0,Introduction and internal spread of pathogens via pest or predators. These animals also pose a welfare risk to the aquatic animals by causing physical lessons or direct mortality ,Introduction,"Inspect the production area, storage rooms, and surrounding perimeter routinely, to identify pest or predators that could pose a risk to disease transmisio and animal welfare",
5. Risk factors related to Vectors (animals and wildlife) / External,_5_3,Are nets in place to prevent birds from accessing the animals?,1,Yes ,1,,,,
,,,,No,0,"Introduction of pathogens and welfare issuesm such as skin lessions or direct mortality, caused by predatory birds",Introduction,"Install predaror netting over all cages, ponds, and tanks to prevent avian predators access to the aquatic animals.",
5. Risk factors related to Vectors (animals and wildlife) / External,_5_4,"Are there pets (cats, dogs, etc.) on the facilities?",0,Yes,0,Introduction and internal spread of pathogens via pets,Introduction,"Restrict the presence and movement of pets within the facility. Any domectic animal on-site must be routinely dewormed and prohibited from having contact with the aquatic animals, feed, equiment or materials that como into contact with the stock.",
,,,,No,1,,,,
5. Risk factors related to Vectors (animals and wildlife) / External,,"If pets (cats, dogs, etc.) live on the facilities is their access to the production area restricted?",1,Yes,1,,,,ERASED / Revise with saraya 
,,,,No,0,Introduction and internal spread of pathogens via pets,introduction,"Restrict the presence and movement of pets within the facility. Any domectic animal on-site must be routinely dewormed and prohibited from having contact with the aquatic animals, feed, equiment or materials that como into contact with the stock.",
,,,,"Does not apply, because no pets live in the facilities",(No-score) ,,,,
5. Risk factors related to Vectors (animals and wildlife) / External,,"If pets (cats, dogs, etc.) live on the facilities are they vaccinated and dewormed?",1,Yes,1,,,,ERASED /Revise with saraya 
,,,,No,0,Introduction and internal spread of pathogens via pets,introduction,"Restrict the presence and movement of pets within the facility. Any domectic animal on-site must be routinely dewormed and prohibited from having contact with the aquatic animals, feed, equiment or materials that como into contact with the stock.",
,,,,"Does not apply, because no pets live in the facilities",(No-score) ,,,,
5. Risk factors related to Vectors (animals and wildlife) / External,_5_5,"Is aquatic animal waste (e.g., dead animals, entrails of slaughtered animals unsuitable for human consumption) kept away from predators and scavengers?",1,Yes ,1,,,,
,,,,No,0,Introduction and internal spread of pathogens via infected animal waste and through predators and scavengers acting as biological or mechanical vectors ,Introduction and spread within,"Aquatic animal waste (e.g., dead animals, entrails from slaughtered animals unsuitable for human consumption) must be stored propperly to prevent access by predators and scavenger before to final disposal.",
5. Risk factors related to Vectors (animals and wildlife) / External,_5_6,"How is organic waste (fecal matter, uneaten feed, unfertilized eggs) managed at the facility? (Select all that apply) ",1,Buried in the ground,1,,,,"Yes/No Score for posible correct answers
Multiple choice question"
,,,,collection for final disposal outside the facility,1,,,,
,,,,Siled with acids,1,,,,
,,,,Used to feed other fish/animals,0,Internal spread and release of pathogens via infected organic waste utilized as feed,Spread within and release,"Organic waste must not be used as feed, either alone or in combination. ",
,,,,Released to water source,0,Release of pathogens into the surrounding aquatic enviroment,Release,"Organic waste must not be released to any water source. This prevents the contaminatrion of water, affecting wild populations, neighbouring aquaculture facilities and downstream human users",
5. Risk factors related to Vectors (animals and wildlife) / External,_5_7,Are pest control measures in place at the facility?,1,Yes,1,,,,
,,,,No,0,"Introduction and internal spread of pathogens via pests. These animals also pose a welfare risk to the aquatic animals, as they can cause physical lesions or direct mortality.",Introduction and spread within,"Implement physical or chemical pest control measures selected based on the identified pest species,the level of infestation, and the specific facilty conditions. Exclusion measures must be applied to storerooms to prevent rodent entry. In particular, the use of natural predators (such as cats or snakes) is not a valid biosecuriy measure, as these animals themselves pose a risk for disease transmission.",
6. Risk Factors related to personnel and visitors / External,_6_1,Do the facility personnel visit other aquaculture facilities?,1,Yes,0,Introduction of pathogens via personnel who have recently visited other aquaculture facilities ,Introduction,Personnel should be prohibited from visiting other aquaculture facilities to prevent cross contamination.,One choice question
,,,,No,1,,,,
,,,,Don’t know,0,Introduction of pathogens via personnel who have recently visited other aquaculture facilities ,Introduction,Personnel should be prohibited from visiting other aquaculture facilities to prevent cross contamination.,
6. Risk Factors related to personnel and visitors / External,_6_2,What procedures are required for personnel before entering the Production facility? (Select all that apply) ,1,Use protective clothes,0.25,,,,
,,,,Change of shoes,0.25,,,,
,,,,Footbath with disinfectant,0.25,,,,
,,,,Hand Disinfection,0.25,,,,
,,,,None,0,"Introduction of pathogens via contaminated clothing, footwear, or hands of the personnel",Introduction,Provide exclusive clothing and footwear for personnel working in the production area. It is also essential to use protective clothing and equipment appropiate for the assigned task to mitigate personnel safety risks. Personnel must routinely use footbaths and hand-washing stations at all facility and production area entry points. ,
6. Risk Factors related to personnel and visitors / External,_6_3,"When is handwashing required for personnel? (Select all that apply) 
",1,Before entering the facilities,0.2,,,,
,,,,Before to begin the daily activities,0.2,,,,
,,,,Before entering each production area,0.2,,,,
,,,,"After handling sick, moribund or dead animals",0.2,,,,
,,,,After handling animals in the quarantine zone,0.2,,,,
,,,,Never,0,Introduction and internal spread of pathogens via contaminated hands of the personnel,Introduction and spread within,"Had-washing routines within the facility must be established and strictly followed. It is recommended that personnel wash their hands before entering the faciltiies, before begining daily activities, and when entering to a new production area. Adittionally, hands must be washed after handling sick, moribud or dead animals, and after working in the quarantine zone.",
,,,,Do not know,0,,,,
6. Risk Factors related to personnel and visitors / External,_6_4,Is the protective clothing washed and disinfected?,1,Yes,1,,,,
,,,,No,0,Introduction and internal spread of pathogens via contaminated clothes,Introduction and spread within,Protective clothing used within the facility by personel should be washed and disinfected routinely. ,
6. Risk Factors related to personnel and visitors / External,_6_5,Are visitors allowed to the facility?,0,Yes,,Introduction and internal spread of pathogens via fomites during visitor entry to the facility ,Introduction and spread within,"Visitors acces should be restricted as much as possible. Upon entry, all visitors must follow the established biosecurity procedures to prevent the introduction of pathogens",should we score this question?
,,,,No,,,,,
6. Risk Factors related to personnel and visitors / External,_6_6,What procedures are required for visitors before entering the facility? (Select all that apply) ,1,Use protective clothes,0.25,,,,
,,,,Change of shoes,0.25,,,,
,,,,Footbath with disinfectant,0.25,,,,
,,,,Hand Disinfection,0.25,,,,
,,,,None,0,Introduction and internal spread of pathogens via fomites during visitor entry to the facility ,Introduction and spread within,"Biosecurity procedures must be established for visitors entering the facility, including the mandatory use of footbaths and hand-wahing stations at all facility  and production area entry points. Additionally, it is recomended to provide exclusive or disposable clothing and footwear for any visitors entering the production area.",
6. Risk Factors related to personnel and visitors / External,_6_7,Do visitors receive information about biosecurity procedure for visitors?,1,Yes ,1,,,,
,,,,No,0,Introduction and internal spread of pathogens via fomites during visitor entry to the facility ,Introduction and spread within,"Before entering the facilities, visitors must be informed of the implemented biosecurity procedures, any site restrictions, and the required code of conduct durning their visit.",
6. Risk Factors related to personnel and visitors / External,_6_8,Is it prohibited for visitors to be in close contact with or handle aquatic animals?,1,Yes ,1,,,,
,,,,No,0,Introduction and internal spread of pathogens via fomites when visitors have direct contact with the animals,Introduction and spread within,Visitors must not be allowed to be in direct or close contact with the animals,
6. Risk Factors related to personnel and visitors / External,_6_9,Do visitors document the names of other facilities they have visited or declare no prior visits before arriving at the facility?,1,Yes,1,,,,
,,,,No,0,Introduction and internal spread of pathogens via fomites during visitor entry to the facility ,Introduction and spread within,Record all visits to the facility and register whether visitors have been to other facilities previously. This registry is essential for outbreak investigation and tracking the origin of diseases. ,
 7. Risk Factors Related with production and its facilities / Internal,_7_1,"Does the facility culture more than one species in the same production unit (i.e., polyculture)?",0,Yes; No,,"No risk factor associated with this question, the question is intended to collect information about the production",,,Should we move this question to facility general information section?
 7. Risk Factors Related with production and its facilities / Internal,_7_2,"Does the facility have a defined upper limit for aquatic animal density per cage, tank, or unit to be stocked?",1,Yes,1,,,,
,,,,No,0,"High stocking density increases the risk of internal disease transmission. It also serves as a major stressor factor, leading to  reduced oxygen levels, physical injuries, behavioral alterations, and elevated organic loads in the water. These factors cause inmunosupression, resulting in higher susceptibility to infections or infestations.",Spread within,"Define an upper density limit per production unit based on the species cultured,the life stage, water quality, and enviromental conditions",
 7. Risk Factors Related with production and its facilities / Internal,_7_3,How often is the defined upper limit of animal density exceeded?,1,Never,1,,,,
,,,,Rarely,0,"High stocking density increases the risk of internal disease transmission. It also serves as a major stressor factor, leading to  reduced oxygen levels, physical injuries, behavioral alterations, and elevated organic loads in the water. These factors cause inmunosupression, resulting in higher susceptibility to infections or infestations.",Spread within,"Do not exceed the upper animal density limit. Furthermore, this limit should be adjusted when water and environmental conditions may cause stress to the cultured animals. ",
,,,,often,0,,,,
 7. Risk Factors Related with production and its facilities / Internal,_7_4,Does the facility have a designated area for cleaning and disinfecting equipment?,1,Yes,1,,,,
,,,,No,0,Internal spread of pathogens through cross-contamination of equipment during routine cleaning and disinfection,Spread within,"Designate a specific area where equipment can be cleaned and disinfected in an organized and safe manner, avoiding cross-contamination between clean and dirty materials ",
 7. Risk Factors Related with production and its facilities / Internal,_7_5,Does the facility have a sanitaty system including handwashing and disinfecting footwear at the entrances and exits of each production area?,1,Yes ,1,,,,
,,,,No,0,Internal spread of pathogens through footwear and hands ,Spread within,"Install and use footbaths and hand-washing stations at all production area entry points. 
These units should be constructed from non-porous materials resistant to corrosive disinfectants, such as plastic, concrete, steel or alumnium. They may be custom-built or artisanal, as long as they facilitate effective disinfection protocols adapated to the volume of people entering at the property",
"8. Risk Factors related to surveillance and monitoring health and welfare, vaccination  / Internal",_8_1,How often is the abnormal behavior of aquatic animals monitored?,1, At least once a day,1,,,,
,,,,At least once a week,0,Internal spread of pathogens occurring when changes in the aquatic animal behavior and clinical signs go unnoticed due to a lack of inspections,Spread within,Daily monitoring of aquatic animal behavior is essential to quickly identify changes caused by stress factors (such as low oxygen levels) or the presence of disease. This allows for the timely implementation of corrective measures when necessary,
,,,,Never,0,,,,
"8. Risk Factors related to surveillance and monitoring health and welfare, vaccination  / Internal",_8_2,How often is feeding behavior monitored ?,1,At least once a day,1,,,,"Yes/No Score for posible correct answers
One choice answer
The answers were standarized with the questions 8.1 and 8.2 (Dic-25)"
,,,,At least once a week,0,"Internal spread of pathogens occurs when changes in the aquatic animals behavior and clinical signs go unnoticed. Additionally, over-or- under-feeding can lead to water quality degradation and nutritional deficiencies, which increase the suceptibility of the animals to develop disease",Spread Within,Feeding behavior inspections should be conducted daily to quickly identify changes and implement corrective measures when necessary,
,,,,Never,0,,,,
"8. Risk Factors related to surveillance and monitoring health and welfare, vaccination  / Internal",_8_3,How often are clinical signs of diseases monitored ?,1,At least once a day,1,,,,
,,,,At least once a week,0, Internal spread of pathogens occurring when clinical signs go unnoticed due to a lack of inspections,Spread Within,Clinical sings should be inspected daily in order to quickly identify the presence of disease,
,,,,Never,0,,,,
"8. Risk Factors related to surveillance and monitoring health and welfare, vaccination  / Internal",_8_4,How often are necropsies performed as part of the disease monitoring?,1,Never,0,Internal spread of pathogens due to the delayed detection of disease when necropsies are not conducted as part of routione health monitoring,Spread Within,"Routine necropsies should be conducted as part of health monitoring, as well as in the presence of clinical signs or unusual mortality","Yes/No Score for posible correct answers
One choice answer"
,,,,when unusual mortality presented,1,,,,
,,,,When clinical signs of disease present,1,,,,
,,,,at least once a week,1,,,,
"8. Risk Factors related to surveillance and monitoring health and welfare, vaccination  / Internal",_8_5,Are the aquatic animals vaccinated against diseases of concern?,1,Yes ,1,,,,
,,,,No,0,Presence and increased prevalence of diseases that can be prevented by vaccination ,Spread Within,"When available, vaccination against diseases of concern should be included as part of the facility's animal health program  ",
"8. Risk Factors related to surveillance and monitoring health and welfare, vaccination  / Internal",_8_6,"Has there been any sudden, unusual, or elevated mortality in the facility in the last 12 months?",1,Yes ,1,,,,"Score? 
should we add the question related with if the cause of mortality was determined"
,,,,No,0, Rapid Internal spread of pathogens during periods of increased mortality ,Spread within and release ,,
"8. Risk Factors related to surveillance and monitoring health and welfare, vaccination  / Internal",_8_7,Have any of the following stress factors been observed in the two weeks prior to the onset of mortality? ,0,Transportation; Inadequate acclimatization of new fish arriving on-site; Handling operations; Overcrowding; Sudden heavy rainfall; Changes in water quality; Low dissolved oxygen; Algal bloom; Other (specify); Not stress factors observed; ,,"No risk factor associated with this question, the question is intended to collect information regarding the stress factors related to unusual mortality events.",,,
"8. Risk Factors related to surveillance and monitoring health and welfare, vaccination  / Internal",_8_8,How often is mortality removed from the production units?,,As soon as possible (More than once each day),1,,,,
,,,,Daily,1,,,,
,,,,Every 2 to 3 days,0,,,,
,,,,Once a week,0,"Internal spread and release of pathogens occur when mortalities are not removed. Furthermore, even if the cause of dead is non-infectious, the decomposition of carcasses in the water degrades water quality and alters the microbial balance.  This poses a risk for disease transmission, including the emergence of secondary pathogens",Spread within and release,"Mortality must be removed as soon as possible, or at least on a daily basis, to prevent the transmission of diseases-either from infected animals or through changes in the aquatic environment",
,,,, Only when mortality is above normal,0,,,,
,,,,Never,0,,,,
"8. Risk Factors related to surveillance and monitoring health and welfare, vaccination  / Internal",_8_9,How is mortality managed in the facility? (Select all that apply):,1,It is buried,1,,,,"Yes/No Score for posible correct answers
Multiple choice question"
,,,,It is incinerated,1,,,,
,,,, It is discarded in water body,0,Release of pathogens into the surrounding aquatic environment,Release,"Mortalities must not be released into any water source. This prevents the contamination of water, which could affect wild populations, neighboring aquaculture facilities, and downstream human users",
,,,,It is used for composting or silage,1,,,,
,,,,It is used to feed other fish/animals,0,Internal spread and release of pathogens resulting from the use of mortalities as feed,Spread within and release ,"Mortalities must not be used as feed, either alone or in combination with other ingredients ",
,,,,It is delivered to other establishments,0,Release of pathogens via the transport of mortalities to other establishments without verification of the final disposal method,Release,Mortalities must not be delivered to other establishments without verifying the correct final disposal method,
,,,,Human consumption,0,Food safety risk arising from the consumption of decomposed or infected animals ,Release,"Mortalities must not be used for human consumption, as the decomposition process beginds inmediately upon death, posing a significant food safety risk",
,,,,Aquatic animals are not removed,0,Internal spread and release of pathogens when mortalities are not removed.,spread within and release,"Mortality must be removed as soon as possible, or at least on a daily basis, to prevent the transmission of diseases-either from infected animals or through changes in the aquatic environment",
,,,," It is processed for sub-products (feed, oil, etc.) in a disposal plant",1,,,,
"8. Risk Factors related to surveillance and monitoring health and welfare, vaccination  / Internal",_8_10,When are diagnostic tests conducted to detect diseases of concern? (Select all that apply):,1,In the presence of unexplained mortality or morbidity,0.15,,,,
,,,,After the arrival of new aquatic animals to the facility,0.15,,,,
,,,,Before sending aquatic animals to another facility,0.15,,,,
,,,,"Routinely, with a frequency that depends on the specific disease and the time of year",0.15,,,,
,,,,If other facilities in the area have the disease of interest,0.1,,,,
,,,,When the disease clinical signs are not familiar,0.15,,,,
,,,,When treatment /medication does not help,0.15,,,,
,,,,Never,0,"Internal spread and release of pathogens occurs when their presence is not detected; consequently, proper mitigation measures cannot be applied, which also may lead to the improper use of antibiotics.",Spread within and release,"Diagnostic tests should be conducted to detect diseases of concern on a routine basis. Testinf is required: after the arrival of new aquatic animals, before transfering aquatic animals to another facility, in the presence of unexplained mortality and morbidity, when neighboring facilities report new diseases or increasing prevalence, and when treatments ot medications do not work",
"8. Risk Factors related to surveillance and monitoring health and welfare, vaccination  / Internal",_8_11,"What techniques are used in the diagnostic process?  
(Select all that apply)",0,Gross pathology (necropsy and observation of clinical sings); Histopathology; Water quality tests; Bacteriology; Parasitology; ELISA; Molecular techniques (PCR-qPCR-RT-PCR); Sequencing; In situ hybridization; ,,"No risk factor associated with this question, the question is intended to collect information regarding the stress factors related to the diagnostic techniques used for disease identification",,,
"8. Risk Factors related to surveillance and monitoring health and welfare, vaccination  / Internal",_8_12,How often are diagnostic tests conducted on the aquatic animal population?,1,At least once a month,1,,,,"Yes/No Score for posible correct answers
One choice answer"
,,,,At least every 3 months,1,,,,
,,,,At least every 6 months,1,,,,
,,,,Yearly,1,,,,
,,,,Once every production cycle,1,,,,
,,,,Only when needed,0,"Internal spread and release of pathogens occurs when their presence is not detected; consequently, proper mitigation measures cannot be applied, which may also lead to the improper use of antibiotics.",Spread within and release,"Diagnostic tests should be conducted to detect diseases of concern on a routine basis, testing is required: after the arrival of new aquatic animals, before transferring aquatic animals to another facility, in the presence of unexplained mortality and morbidity, when neighboring facilities report new diseases or an increasing prevalence of a disease of interest, and when treatments or medications do not work",
,,,,No diagnostics tests carried out,0,,,,
"8. Risk Factors related to surveillance and monitoring health and welfare, vaccination  / Internal",_8_13,When is a disease reported to the Competent Authority?  (Select all that apply),1,When deaths or illnesses last longer than expected,0.2,,,,
,,,,When treatment/medication doesn't help,0.2,,,,
,,,,When a listed disease is suspected,0.2,,,,
,,,,When the disease is unknown or unusual,0.2,,,,
,,,,When there is a high or unusual mortality,0.2,,,,
,,,,Not applicable as diseases are not present in the facility,0,,,,
,,,,The diseases are not reported to the competent authority,0,"Internal spread and release of pathogens occurs when the presence of diseases or those listed by the competent authority remains unknown. Consequently, proper mitigation and control measures cannot be applied in a timely manner ",Spread within and release,"The presence of unknown or unusual clinical sings, unusual mortality, or the suspicion of listed diseases must be reported to the competent authority. This ensure a confirmed diagnosis and the application of proper mitigation and control mesaures as soon as possible to control or eradicate the disease. Facility personnel should know when and to whon to report, and the notification contact details must be easily accessible",
"8. Risk Factors related to surveillance and monitoring health and welfare, vaccination  / Internal",_8_14,Who performs the sampling in the event of suspected disease presence? (Select all that apply),0,Own staff of the facility; Officials from the competent Authority; Private Vet; An external fish health expert; Not applicable as sample collection is never performed,,"No risk factor associated with this question, the question is intended to collect information regarding personnel responsible for sampling when a disease is suspected",,,
"8. Risk Factors related to surveillance and monitoring health and welfare, vaccination  / Internal",_8_15,Does the facility have a defined process for handling aquatic animals?,1,Yes ,1,,,,Should we reformulate this question to clarify that the biosecurity procedure must be in writing?
,,,,No,0,"Internal transmission of diseases occurs when aquatic animals are not handled according to welfare procedures. Improper handling can cause direct physical lesions or mortality; it also can leads to stress and inmunosupresion, resulting in higher susceptibility to infections or infestations",Spread Within,"Internal procedures must be developed and implemented to ensure aquatic animals are handled correctly, avoiding additional stress and direct injuries. These procedures should specify when and how the animals should be sedated or anesthetized. ",
"8. Risk Factors related to surveillance and monitoring health and welfare, vaccination  / Internal",_8_16,"Is the equipment used to handle aquatic animals designed, constructed, and operated to minimize physical injuries?",1,Yes,1,,,,
,,,,No,0,"Internal transmission of diseases can occur when aquatic animals are handled with inadequate equipment or when its is not operated correctly. This leads direct physical lesions or mortality, as well as stress and inmunosupression, resulting in higher susceptibility to infections or infestations",Spread Within,"Use equipment designed and constructed to handle aquatic animals, and operated it according to procedures to avoid physical injuries or direct mortality",
"8. Risk Factors related to surveillance and monitoring health and welfare, vaccination  / Internal",_8_17,Does the facility have a defined process for loading and unloading aquatic animals that prevents injuries and minimizes stress?,1,Yes ,1,,,,Should we reformulate this question to clarify that the biosecurity procedure must be in writing?
,,,,No,0,"Internal transmission of diseases occurs when aquatic animals are not handled welfare procedures. Improper handling can direct physical lesions or mortality; it also leads to stress and inmunosuppresion, resulting in higher susceptibility to infections or infestations.",Spread Within,Develop and implement internal procedures for the handling of the aquatic animals during loading and unloading to avoid additional stress and direct injuries. These procedures should specify when and how animals should be sedated or anesthezed,
9. Risk Factors related to use and storage of feed and veterinary medicinal products/ Internal,_9_1,How is the feed stored in the facility?  (Select all that apply),1,In a designated area,0.125,,,,"None, was included as an aswer in order to score the risk (0)"
,,,,In closed containers,0.125,,,,
,,,,In a dry area,0.125,,,,
,,,,In an appropiate temperature,0.125,,,,
,,,,Inaccessible to pests,0.125,,,,
,,,,"Inaccessible to toxic elements (pesticides, chemical products, etc)",0.125,,,,
,,,,Using racks and separated of the walls,0.125,,,,
,,,, A clean and organized area,0.125,,,,
