Subcategory,ID,Question,"Main Score
,,,,None,0,"Introduction and internal spread of pathogens can occur through feed. If stored under incorrect conditions, feed can become contaminated by toxic elementes, bacteria, or fungi, leading to the development of toxins or mycotoxins than negatively affect the health of the aquatic animals",Introduction and spread within,"Feed should be stored in a designated, dry, clean and organized area at an appropiate temperature. It must be keep in closed containers, inaccessible to pests and toxic elements (pesticides, chemicals, etc), using racks to keep it separated from the walls.  ",
9. Risk Factors related to use and storage of feed and veterinary medicinal products/ Internal,_9_2,How are veterinary medicinal products stored in the facility? (Select all that apply),1,In original packaging with label,0.125,,,,"None, was included as an aswer in order to score the risk (0)"
,,,,"In separated containers for each type of supplies (Vaccine, feed, drugs)",0.125,,,,
,,,,Cool and dry area,0.125,,,,
,,,,In an appropiate temperature,0.125,,,,
,,,,Inaccessible to pest,0.125,,,,
,,,,In a designated area,0.125,,,,
,,,,A clean and organized area,0.125,,,,
,,,,"Inaccessible to toxic elements (pesticides, chemical products, etc)",0.125,,,,
,,,,None,0,"Contamination and quality degradation of veterinary medicinal products occur when this supplies are stored under incorrect conditions. This can lead to direct contamination of the product and the introduction of toxic or biological substances to the stock. furthermore, changes in products quality can result in toxicity or a loss of effectiveness, compromising the success of treatments",Introduction and spread within,"Veterinary medicial products should be stored in a designated, dry, clean and organized area at an appropiate temperature. They must remain in their original packaging with labels intact, in separated containers for each type of supply (e.g., vaccines, feed, drugs), and be inaccessible to pests and toxic elements (pesticides, chemicals, etc).  use racks and ensure they are separated from the walls. ",
9. Risk Factors related to use and storage of feed and veterinary medicinal products/ Internal,_9_3,How often are veterinary medicinal products inspected during storage?,1,Daily (before feeding),1,,,,"Yes/No Score for posible correct answers
One choice answer"
,,,,At least once a week,1,,,,
,,,,At least once a month,1,,,,
,,,,Only when necessary,0,"Contamination and quality degradation of veterinary medicinal products occur when this supplies are stored under incorrect conditions. This can lead to direct contamination of the product and the introduction of toxic or biological substances to the stock. furthermore, changes in products quality can result in toxicity or a loss of effectiveness, compromising the success of treatments",Introduction and spread within,"Veterinary medicial products should be stored in a designated, dry, clean and organized area at an appropiate temperature. They must remain in their original packaging with labels intact, in separated containers for each type of supply (e.g., vaccines, feed, drugs), and be inaccessible to pests and toxic elements (pesticides, chemicals, etc).  use racks and ensure they are separated from the walls. ",
,,,,Never,0,,,,
9. Risk Factors related to use and storage of feed and veterinary medicinal products/ Internal,_9_4,Are the following factors inspected in the feed and veterinary medicinal products storage areas? (Select all that apply),1,Temperature,0.2,,,,
,,,,Humidity level,0.2,,,,
,,,,Lightning conditions,0.2,,,,
,,,,Damage to containers,0.2,,,,
,,,,Pet/ Vector Signs,0.2,,,,
,,,,No factors inspected,0,"Contamination and quality degradation of veterinary medicinal products occur when this supplies are stored under incorrect conditions. This can lead to direct contamination of the product and the introduction of toxic or biological substances to the stock. furthermore, changes in products quality can result in toxicity or a loss of effectiveness, compromising the success of treatments   ",Introduction and spread within,"Veterinary medicial products should be stored in a designated, dry, clean and organized area at an appropiate temperature. They must remain in their original packaging with labels intact, in separated containers for each type of supply (e.g., vaccines, feed, drugs), and be inaccessible to pests and toxic elements (pesticides, chemicals, etc).  use racks and ensure they are separated from the walls. ",
9. Risk Factors related to use and storage of feed and veterinary medicinal products/ Internal,_9_5,How long is the feed stored in the facility?,1,Prepared and used on the same day,1,,,,"Yes/No Score for posible correct answers
One choice answer"
,,,,Less than 2 weeks,1,,,,
,,,,Between 2-4 weeks,1,,,,
,,,,Between 1-3 months,1,,,,
,,,,More than 3 months,0,,,,
,,,,I don’t know,0,"Introduction and internal spread of pathogens can occur through feed. When feed is stored longer than its expiration date, its quality degrades and it becomees more susceptible to contaminantion by toxic elements, bacteria, or fungi. This can lead to the developent of toxins or mycotoxins than negatively affect the health of the aquatic animals",Introduction and spread within," Apply the First-In, First-Out (FIFO) system to ensure feed is not stored beyond its expritation date. Avoing keeping lanrger quantities of feed in storage than are necessary for immediate production needs. ",
9. Risk Factors related to use and storage of feed and veterinary medicinal products/ Internal,_9_6,Are veterinary medicinal products intended for other species used on aquatic animals?,1,Yes ,1,,,,
,,,,No,0,"The use of incorrect dosages or routes of administration when using products intended for other species leads to misuse , a loss  of treatment effectiveness, and the development of antimicrobial resistance. Furthermore, the use of non-species-specific products can lead per se to toxicity, as certain ingredients or excipients used for land-animals can be harmful to fish gills",Spread within,Always use veterinary medicinal products specifically intended for aquatic animals ,
9. Risk Factors related to use and storage of feed and veterinary medicinal products/ Internal,_9_7,What veterinary medicinal products are used in the facility? (Select all that apply),0,"Antibiotics, Antifungals, Antiparasitics, Anesthetic, Vaccines, Autovaccines, Hormones (including sex reversal treatment), Nutritional supplements, No veterinary medicinal products are used at the facility",,"No risk factor associated with this question, the question is intended to collect information regarding the types of veterinary medicial products currently in used",,,
9. Risk Factors related to use and storage of feed and veterinary medicinal products/ Internal,_9_8,Are the veterinary medicinal products used in the facility prescribed by a veterinarian?,1,Yes,1,,,,
,,,,No,0,"Use of incorrect products, dosages or routes of administration, particurlarly when using veterinary medicial products not prescribed by a veterinarian, leads to misuse, a loss of  treatment efectiveness, and the development antimicrobial resistance",Spread within,"Veterinay medicinal products, such as antibiotics, antiparasitics, anesthetics, and vaccines, must be prescribed by a veterinarian. The prescription should be based on a diagnosis and include the commercial name of the product, dosage, duration of treatment and route of administration",
,,,,Does not apply- No veterinary medicinal products are used at the facility,(No score)/1,,,,
9. Risk Factors related to use and storage of feed and veterinary medicinal products/ Internal,_9_9,"If not, who prescribes the use of antibiotics in the facility? (Select all that apply)",0,Feed supplier; Chemical/drug supplier; University student; Staff on the establishment; Other establishments; Other experts/professionals ;Does not apply- No antibiotics are used on the facility,,"No risk factor associated with this question, the question is intended to collect information regarding the personnel responsible for prescribing antibiotics",,,
9. Risk Factors related to use and storage of feed and veterinary medicinal products/ Internal,_9_10,Are veterinary medicinal products used in accordance with the veterinarian's instructions?,1,Yes,1,,,,enlazada con 9.8
,,,,No,0,,,,
,,,,Does not apply- No veterinary medicinal products are used at the facility,(No score)/1," The use of incorrect product, dosages or routes of administration, particurlarly when using veterinary medicial products not prescribed by a veterinarian or failling to follow their instructions, leads to misuse, a loss of  treatment efectiveness and antimicrobial resistance",Spread within,"Veterinay medicinal products, such as antibiotics, antiparasitics, anesthetics and vaccines, must be prescribed by- and  used according to the instructions given by-a veterinarian. The prescription should be based on diagnosis and include the commercial name of the product, dosage, duration of treatment and route of administration. ",
9. Risk Factors related to use and storage of feed and veterinary medicinal products/ Internal,_9_11,Which of the following antibiotics have been used in the facility in the last 12 months? (Select all that apply),0,Oxytetracycline; Florfenicol; Sulfadiazine-trimethoprim; Chlortetracycline; Amoxicillin; Flumequine; Oxolinic acid; Azithromycin; Ciprofloxacin; No antibiotics are used at the facility,,"No risk factor associated with this question, the question is intended to collect information regarding which antibiotocs have been used in the last 12 monts",,,
9. Risk Factors related to use and storage of feed and veterinary medicinal products/ Internal,_9_12,"If antibiotics are used in feed, are they mixed on the farm, or is medicated feed supplied?",0,Mixed yourself; Supplied medicated feed; Does not apply- No antibiotics are used at the facility,,"No risk factor associated with this question, the question is intended to collect information regarding the method of antibiotic administration",,,
9. Risk Factors related to use and storage of feed and veterinary medicinal products/ Internal,_9_13,"What are the reasons antibiotic treatments used in the facility? 
(Select all that apply)",1,Prevent diseases,0,,,, the propper use was added as amswer: treat bacterial infections with a confimed diagnosis!!
,,,,Treat sick animals and reduce mortality rates without a confirmed diagnosis,0,,,,
,,,,Eliminate pathogenic bacteria in water and/or soil,0,"Internal spread and release of pathogens can occur when treatments fail. Furthermore, antimicrobial resistance (AMR) can develop from the prophylactic use of antibiotics in the absence of disease, such as when used for weight gain (growth promoters), the treatment of water or soil, or wheb administrated without a confirmed diagnosis or for non-bacterial infections. ",Spread within,"The use of antibiotics is restricted to cases with a confirmed bacterial infection diagnosis, and as previously stated, must be prescribed by a veterinarian.",
,,,,Improve weigh gain (growth promoters),0,,,,
,,,,Treat Viral infections,0,,,,
,,,,Treat Parasitic infections,0,,,,
,,,,Treat fungal infections,0,,,,
,,,,Treat bacterial infections with a confimed diagnosis,1,,,,
,,,,Does not apply- No antibiotics are used at the facility,(No score)/1,,,,
9. Risk Factors related to use and storage of feed and veterinary medicinal products/ Internal,_9_14,Is a susceptibility test performed before using antibiotics in the facility?,1,Yes,1,,,,
,,,,No,0,"Internal spread and release of diseases can occur when an incorrect antibiotic is used or when treatment and control measures fail. Furthermore, the risk of antimicrobial resistance (AMR) increases when an antibiotic is chosen without a previous susceptibility test. ",Spread within ,"Once the bacterial infection is confirmed and an antbiotic treatment is needed, a susceptibility test should be performed to choose the best option to treat and control the disease. ",
,,,,Does not apply- No antibiotics are used at the facility,(No score)/1,,,,
9. Risk Factors related to use and storage of feed and veterinary medicinal products/ Internal,_9_15,Are the withdrawal times for veterinary medicinal products known and followed?,1,Yes,1,,,,
,,,,No,0,"Non-compliance with withdrawal periods after the use veterinary medicinal products can lead to food safety and human health risks, such as allergic reacctions and the spread of antimicrobial resistance (AMR)",Food safety,The withdrawal periods for veterinary medicinal products must be strictly complied with. Batches under treatment should be monitored closely and sent to the processing plant for human consumption only once the withdrawal time has been completed.,
,,,,Does not apply- No veterinary medicial products are used at the facility,(No score)/1,,,,
9. Risk Factors related to use and storage of feed and veterinary medicinal products/ Internal,_9_16,Is there visible signage to identify cages or ponds under veterinary treatment?,1,Yes,1,,,,
,,,,No,0,"Non-compliance with withdrawal periods after the use veterinary medicinal products can lead to food safety and human health risks, such as allergic reacctions and the spread of antimicrobial resistance (AMR)",Food safety,"To avoid mistakes in identifying and monitoring batches under treatment, visible signage for tanks, cages or ponds should be implemented throughout the facility. Examples include flags, labels, and color-codes tapes. ",
,,,,Does not apply- No antibiotics are used at the facility,(No score)/1,,,,
9. Risk Factors related to use and storage of feed and veterinary medicinal products/ Internal,_9_17,Are adverse reactions to veterinary medicinal products reported to the Competent Authority?,1,Yes,1,,,,
,,,,No,0,"Adverse reactions can lead to stress, physical injuries, and  immunosupression, resulting in higher susceptibility to diseaes. Furhtermore, treatment failure is also considered an adverse reaction. When these events are not reported, the situation is likely to recur within the facility, and potentially others without the implementation of corrective or follow-up actions",Food safety,"Adverse reaccionts including treatment failure, should be reported to the competent authority as part of the pharmacovigilance system. This ensures that the necessary follow-up and corrective measures can be implemented",
,,,,Does not apply- No veterinary medicial products are used at the facility,(No score)/1,,,,
"10. Risk factors related to equiment, desinfection and mangement /Internal",_10_1,Are equipment/materials shared between ponds/cages within the same facility?,1,Yes ,0,Internal transmission of pathogens through fomites occurs when equipment is shared between different batches within the facility,Spread within,"Equipment should not be shared between different batches or production areas with varying risk levels. In exceptional cases where sharing is necessary, the equipment must be thoroughly cleaned and disinfected both before and after use throughout the facility. ",
,,,,No,1,,,,
"10. Risk factors related to equiment, desinfection and mangement /Internal",_10_2,Are shared equipment/materials between different tanks/cages in the same facility cleaned and disinfected?,1,"Yes, before and after use",1,,,,One choice question
,,,,"Yes, but only before it is used",0,Internal transmission of pathogens through fomites occurs when equipment is shared between different batches within the facility,Spread within,"Equipment should not be shared between different batches or production areas with varying risk levels. In exceptional cases where sharing is necessary, the equipment must be thoroughly cleaned and disinfected both before and after use throughout the facility. ",
,,,,"Yes, but only after it's used",0,,,,
,,,,No,0,,,,
"10. Risk factors related to equiment, desinfection and mangement /Internal",_10_3,Are there separate equipment for handling dead/moribound aquatic animals?,1,Yes ,1,,,,
,,,,No,0,Internal transmission of pathogens occurs through cross-contamination by fomites when the same equipment is used for handling dead or moribund animals and apparently healthy animals,Spread within,"Use exclusive equipment to handle sick, dead, and moribund animals ",
"10. Risk factors related to equiment, desinfection and mangement /Internal",_10_4,Are the facilities/nets/cages for holding animals cleaned and disinfected before introducing new animals?,1,Yes,1,,,,Should we joint the questions 10.4 and 10.5 in order to ask if the facilities/nets/cages are cleaned and disinfected before and after use?
,,,,No,0,"Internal transmission of pathogens occurs throught cross-contamination when new stocks is cultured in facilities,nets or cages that held other animals without proper cleaning and disinfection",Spread within,"Implement cleaning and disinfection routines after each use of facilities, nets, and cages, and before new animals arrive- to avoid cross-contamination between incoming batches",
"10. Risk factors related to equiment, desinfection and mangement /Internal",_10_5,Are the facilities/nets/cages for holding animals cleaned and disinfected after the animals leave the facilities?,1,Yes,1,,,,Should we joint the questions 10.4 and 10.5 in order to ask if the facilities/nets/cages are cleaned and disinfected before and after use?
,,,,No,0,"Internal transmission of pathogens occurs throught cross-contamination when new stocks is cultured in facilities,nets or cages that held other animals without proper cleaning and disinfection",Spread within,"Implement cleaning and disinfection routines after each use of facilities, nets, and cages, and before new animals arrive- to avoid cross-contamination between incoming batches",
"10. Risk factors related to equiment, desinfection and mangement /Internal",_10_6,Is fallowing conducted before introducing new animals?,1,Yes,1,,,,"Should we include a question regarding the implementation of 'all-in/all-out' management? This is critical for reducing disease transmission risk, especially in cage production systems"
,,,,No,0,Internal transmission and release of pathogens through cross-contamination when new stock is introduced without a fallow period to break the Pathogens lifecycle ,Spread within and release,Fallowing must be conducted after cleaning and disinfection procedures are completed. The durantion of the fallowing should be determined based on the specidifc pathogens to be excluded. An all-in/all-out management system should be applied in cages systems and whenever possible for stocking during the grow-out stage ,
"10. Risk factors related to equiment, desinfection and mangement /Internal",_10_7,Is soil treatment carried out in earth ponds?,0,Yes,1,,,,
,,,,No,0,Internal transmission of pathogens occurs through vectors and contimaned soil when the treatment of earth ponds bottoms is not propperly carried out. ,Spread within,"When the production is conduncted in earth ponds, soil treatment should be applied to reduce the survival and proliferation of pathogenic agents, while increasing the availability of beneficial flora and nutrients. ",
"10. Risk factors related to equiment, desinfection and mangement /Internal",_10_8,How often is the equipment used for handling aquatic animals cleaned and disinfected?,1,After each use,1,,,,"Yes/No Score for posible correct answers
One choice answer"
,,,,Daily,1,,,,
,,,,Weekly,0,,,,
,,,,Monthly,0,Internal transmission of pathogens occurs through fomites when equipment is used for handling aquatic Animals does not undergo a proper cleaning and disinfection process,Spread within,"Implement cleaning and disinfection routines after each use, or at least as part of a daily routine, to avoid cross-contamination between batches",
,,,,Never,0,,,,
"10. Risk factors related to equiment, desinfection and mangement /Internal",_10_9,"Does the facility use pesticides, insecticides, piscicides, or herbicide treatments?",1,Yes,1,,,,No score this question?
,,,, No,0,"Internal transmission of pathogens occurs through vectors such as pests, insects, wild fish and other animals. ",Spread within,"When necessary apply pesticides, insecticides, piscicides, or herbicides at the facility to protect stocked animals from vector-borne disease transmission.",
"10. Risk factors related to equiment, desinfection and mangement /Internal",_10_10,"If yes, how are these treatments applied?",0,In feed; In water; in the surroindings,,"No risk factor associated with this question, the question is intended to collect information on how treatments are administrated",,,
"10. Risk factors related to equiment, desinfection and mangement /Internal",_10_11,"Does the facility use fertilizers, probiotics, or prebiotics treatments?",1,Yes,1,,,,No score this question?
,,,, No,0,"Internal tranmission of pathogens is driven by an imbalance in the aquatic enviroment, leading to compromised water quality paramenters and an increased concentration of patogenic agents in the soil and water used in the production system",Spread within,"Implement treatments such as fertilizers, probiotics, or prebiotics to  reduce the survival of pathogenic agents, and increase the availability of beneficial flora and nutrients ",
"10. Risk factors related to equiment, desinfection and mangement /Internal",_10_12,Does the facility use fresh feces from other animals as fertilizer for the ponds/thanks?,1,Yes,0,The introduction and internal spread of pathogens can occur through the use fresh feces to fertlize ponds or tanks,Introduction and spread within,"Fresh feces from any type of animals must be used to fertilize ponds or tanks. When using organic fertilizers, a sanitization process must be applied to eliminate pathogenic agents from these products",
,,,,No,1,,,,
"10. Risk factors related to equiment, desinfection and mangement /Internal",_10_13,Is debris and waste removed regularly from the facility?,1,Yes ,1,,,,
,,,,No,0,Internal transmission and release of pathogens through the acumulation debris and waste stored for long periods within the facility,Spread whitin and realease,"Debris and waste should be removed from the facility on a frequent basis. Avoiding their storage and accumulation prevents the creation of spaces where pests can hide, nest and reproduce. ",
"10. Risk factors related to equiment, desinfection and mangement /Internal",_10_14,Do personnel always wash and sanitize their hands after contact with sick or dead aquatic animals?,1,Yes ,1,,,,Question already covered in 6.3-Errase
,,,,No,0,Internal transmission of pathogens occurs via the hands of personnel after contact with sick or dead animals,Spread within,Personnel must wash and sanitize their hands inmediately following contact with sick or dead animals,
"10. Risk factors related to equiment, desinfection and mangement /Internal",_10_15,"Are personnel familiar with or trained in the following topics?  
(Select all that apply)",1,Officially listed diseases,0.2,,,,
,,,,Animal welfare and normal behavior of the animals,0.1,,,,
,,,,General signs of disease,0.2,,,,
,,,,Handling aquatic animals,0.1,,,,
,,,,Humane killing of aquatic animals,0.1,,,,
,,,,Dead animal management procedures,0.1,,,,
,,,,Cleaning and disinfection procedures,0.1,,,,
,,,,Use of veterinary medicinal products,0.1,,,,
,,,,None,0,"The introduction, internal spread and release of pathogens are often linked to a lack of personnel knowledge regarding daily activities, animal handling, welfare, and the early detection of diseases","Introduction, spread within and release","Personnel working in the production area must be trained in and familiar with: officially listed diseases, animal welfare and normal behavior, general signs of disease, handling and humane slaughter of aquatic animals, mortality management, cleaning and disinfection procedures, and the correct use of veterinary medicinal products",
"10. Risk factors related to equiment, desinfection and mangement /Internal",_10_16,How often do personnel receive training on biosecurity?,1,At least one a year,1,,,,"Yes/No Score for posible correct answers
One choice answer"
,,,,At least one every two years,1,,,,
,,,,At least one every three years,1,,,,
,,,,Never,0,"The introduction, internal spread and release of pathogens are often linked to a lack of personnel knowledge regarding daily activities, animal handling, welfare, and the early detection of diseases","Introduction, spread within and release","Training of the topics listed above should be updated on a regular basis, with refreshers conducted at least every one to three years ",
11. Risk factors related to standard operating procedures (SOPs) and recordkeeping /Internal,_11_1,Has the facility implemented a biosecurity plan?,1,Yes ,1,,,,
,,,,No,0,"The introduction, internal spread, and release of pathogens occur when measures are not applied on daily or routine basis, are inconsistent, or are not prioritized accoridng to the risk they represent. This risk is compounded when measures are not formally documented or applied in alignment with a side-specific biosecurity plan developed.","Introduction, spread within and release","The facility must maintain a written biosecurity program based on prioritized measures designed to mitigate the risk of pathogen introduction, spread within, and release from the facility",
11. Risk factors related to standard operating procedures (SOPs) and recordkeeping /Internal,_11_2,"Who developed or verified the biosecurity plan? 
(Select all that apply)",0,Official/governmental authority,,,,,
,,,," Private organization (e.g., BP or ISO)",,"No score, this question is intended to collect information",,,
,,,,Internal team without external verification,,,,,
11. Risk factors related to standard operating procedures (SOPs) and recordkeeping /Internal,_11_3,Do personnel have access to the biosecurity plan?,1,Yes,1,,,,
,,,,No,0,"Introduction, internal spread and release of pathogens are caused by a lack of personnel awareness regarding the biosecurity plan, leading to inconsistent, or omitted application of application of the measures","Introduction, spread within and release",The biosecurity plan should be communicated to all personnel and made readily available for consultation,
11. Risk factors related to standard operating procedures (SOPs) and recordkeeping /Internal,_11_4,How often is the biosecurity plan reviewed?,1,Once a year,1,,,,"Yes/No Score for posible correct answers
One choice answer"
,,,,Once every two years,1,,,,
,,,,Once every three years,0,"The introduction, internal spread, and release of pathogens occur when biosecurity measures are not adjusted and updated in accordance with the evolving risks and changes occurring within the facility ","Introduction, spread within and release","The biosecurity plan should be revised and updated on a regular basis  to adapt and modify measures as necessary, in accordance with the identified risks",
,,,,Never,0,,,,
11. Risk factors related to standard operating procedures (SOPs) and recordkeeping /Internal,_11_5,"Do you keep a record of the following routine practices? (Select all that apply)
",1,Mortality and necropsy reports,0.1,,,,
,,,,Health status and laboratory test results,0.1,,,,
,,,,Origin of animals/ Genetic Material,0.1,,,,
,,,,Stocking densities/ Animals per cage/tank/pond,0.1,,,,
,,,,Water parameters,0.1,,,,
,,,,Visitors (People and vehicles),0.1,,,,
,,,,Feeding/ Grow rate,0.1,,,,
,,,,"Daily inspections (feeding behavior, swimming, clinical signs, sanitary inspection)",0.1,,,,
,,,,Veterinary treatments and prescriptions (including vaccination),0.1,,,,
,,,,Pests control,0.1,,,,
,,,,No records available,0,"Pathogen spread within and release from the facility occur due to a lack of information needed for animal health and production decision-making, early disease detection, and monitoring of production parameter variations. This includes the failure to update the biosecurity program based on current data.",Spread within and release,"The facility must maintain comprehensive records of routine practices and animal health data, including: mortalities, necropsies, health status, and laboratory results. Documentation must also cover the origin of animals/genetic material, stocking densities, water parameters, visitros logs, feed/growth rates, daily inspections, veterinary prescriptions, and pest control.",
11. Risk factors related to standard operating procedures (SOPs) and recordkeeping /Internal,_11_6,How long are these records kept?,0,Less than one year; One year; Two years; More than three years; No records available,,"No risk factor associated with this question, the question is intended to collect information regarding how long the records are kept ",,,
11. Risk factors related to standard operating procedures (SOPs) and recordkeeping /Internal,_11_7,Do you have written Standard Operating Procedures (SOPs) for the following routine practices? (Select all that apply),1,Mortality (management and disposal),0.1,,,,
,,,,Management of new animals (quarantine),0.1,,,,
,,,,Screening of water quality and corrective actions when needed,0.1,,,,
,,,,"Biosecurity measures for visitors (people, vehicles and equipment)",0.1,,,,
,,,,Animal Health Program,0.1,,,,
,,,,Contingency or emergency plan for diseases outbreaks and notification of unusual mortality,0.1,,,,
,,,,"Daily inspections (feeding behavior, swimming)",0.1,,,,
,,,,Necropsy and sampling procedures,0.1,,,,
,,,,Vaccination procedure,0.05,,,,
,,,,Pests control,0.05,,,,
,,,,Movement of animals,0.1,,,,
,,,,No SOPs available,0,The internal spread and release of diseases occur when biosecurity measures are not applied on a routine basis or are implemented inconsistently. This risk is heightened when Standard Operating Procedures (SOPs) are not documented or followed accordance with a site-specific biosecurity plan,Spread within and release,"The facility must develop and implement written Standard Operating Procedures (SOPs) for the following routine practices: Mortality mangement and disposal, quarantine of new animals, water quality screening (inlcuding corrective actions), and biosecurity protocols for visitors, vehicles and equipment. Additionaly, SOPs must cover the animal health program, disease outbreak contigency plans, notification of unusual mortality, daily inspections, necropsy and sampling, vaccination, pest control and animal movement ",
11. Risk factors related to standard operating procedures (SOPs) and recordkeeping /Internal,_11_8,How are the records available? (Select all that apply),0,Digital- Excel;Digital- App or private system;Notebooks;Preprinted form;The facility does not have records of routine practices,,"No risk factor associated with this question, the question is intended to collect information regarding how records are mantained and made available",,,
,,,,,,,,,
,,Total Questions: 140 (Include Facilities general info). Revise the number of risk factors again.,,,,,,,
,,"Update: 15 Dic. Se reviso la logica de omision. Observaciones y algunas respuestas agregadas. 
16 de Dic: Se revisaron los comentarios,quedan resaltados en amarillo a discutir y acordar con saraya.
26 Dic: Se finalizo redaccion factores de riesgo y medidas de prevencion. falta revisar su redaccion y continuar con esta hoja para priorizar factores de riesgos para pequeños productores",,,,,,,